,國文,英文,數學,社會,自然
0,8,12,7,15,6
1,7,13,10,7,8
2,9,10,15,14,11
3,8,12,10,6,12
4,15,11,12,14,6
5,13,6,8,13,6
6,7,7,15,12,8
7,9,9,10,9,10
8,10,7,13,15,9
9,11,13,13,14,7
10,9,6,12,9,7
11,7,12,7,13,15
12,13,14,11,14,11
13,12,6,11,11,9
14,11,13,10,15,7
15,7,13,10,8,10
16,10,9,8,9,9
17,12,9,10,11,6
18,11,11,10,14,11
19,13,14,15,15,7
20,7,8,15,13,11
21,10,12,7,7,7
22,13,6,7,10,7
23,13,12,9,8,13
24,10,11,9,8,6
25,6,10,8,15,6
26,11,9,8,6,13
27,7,9,14,11,7
28,15,10,14,14,10
29,13,8,9,12,13
30,11,6,6,11,7
31,9,13,15,13,8
32,15,13,12,9,12
33,14,8,8,10,10
34,9,14,11,10,12
35,6,8,10,9,10
36,6,10,10,15,15
37,10,7,8,12,14
38,6,8,15,13,15
39,8,15,6,13,7
40,11,6,15,14,6
41,8,9,13,10,13
42,13,12,11,6,14
43,13,11,6,13,6
44,7,11,6,7,11
45,13,9,11,13,10
46,14,10,10,14,7
47,14,9,8,9,10
48,13,11,15,13,9
49,7,13,15,6,15
50,12,12,6,14,7
51,6,13,7,6,13
52,13,9,6,6,14
53,7,11,11,13,10
54,8,8,9,10,6
55,12,11,11,8,6
56,15,14,14,14,7
57,11,8,10,8,8
58,12,8,7,12,14
59,15,9,12,12,9
60,15,15,10,13,11
61,13,11,14,12,13
62,10,9,10,10,12
63,7,12,6,6,6
64,6,8,6,6,15
65,13,9,13,14,12
66,7,15,6,8,6
67,6,9,10,12,12
68,13,12,6,15,10
69,7,13,6,7,15
70,7,7,8,9,15
71,14,12,6,12,7
72,13,15,6,7,11
73,6,14,9,9,11
74,13,15,9,7,7
75,12,15,8,12,14
76,14,10,13,15,13
77,7,13,12,6,9
78,7,9,12,8,6
79,15,12,15,9,12
80,8,13,13,6,6
81,7,9,12,11,13
82,14,10,15,15,8
83,15,15,15,12,9
84,7,15,10,10,6
85,14,10,7,8,12
86,6,8,6,7,10
87,7,10,12,7,7
88,11,6,9,12,9
89,10,15,10,6,13
90,11,7,15,8,14
91,7,14,14,14,15
92,10,7,9,7,8
93,14,13,11,7,6
94,10,10,7,8,9
95,13,8,8,15,8
96,9,7,15,6,9
97,15,10,15,7,13
98,10,10,9,14,11
99,13,13,10,8,13
